参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例
,,symbol,输入参数,futures_contract_detail,期货数据,
-,,-,输出参数,stock_us_spot,股票数据,
-,,-,输出参数,stock_balance_sheet_by_report_em,股票数据,
-,,-,输出参数,stock_balance_sheet_by_yearly_em,股票数据,
-,,-,输出参数,stock_profit_sheet_by_report_em,股票数据,
-,,-,输出参数,stock_profit_sheet_by_yearly_em,股票数据,
-,,-,输出参数,stock_profit_sheet_by_quarterly_em,股票数据,
-,,-,输出参数,stock_cash_flow_sheet_by_report_em,股票数据,
-,,-,输出参数,stock_cash_flow_sheet_by_yearly_em,股票数据,
-,,-,输出参数,stock_cash_flow_sheet_by_quarterly_em,股票数据,
-,,-,输出参数,stock_balance_sheet_by_report_delisted_em,股票数据,
-,,-,输出参数,stock_profit_sheet_by_report_delisted_em,股票数据,
-,,-,输出参数,stock_cash_flow_sheet_by_report_delisted_em,股票数据,
-,,-,输出参数,stock_institute_recommend,股票数据,
-,,-,输出参数,stock_hk_indicator_eniu,股票数据,
-,,-,输出参数,bond_zh_hs_cov_spot,债券数据,
-,,-,输出参数,macro_china_nbs_nation,中国宏观数据,
-,,-,输出参数,macro_china_nbs_region,中国宏观数据,
--------,,---------,输出参数,stock_szse_area_summary,股票数据,
------:,,:-------,输入参数,futures_main_sina,期货数据,
---:,,:-------,输入参数,futures_contract_detail,期货数据,
...,,object,输出参数,stock_financial_report_sina,股票数据,...
...,,...,输出参数,stock_financial_analysis_indicator_em,股票数据,...
...,,-,输出参数,macro_euro_lme_holding,宏观数据,...
...,,...,输出参数,macro_euro_lme_stock,宏观数据,...
...,,...,输出参数,macro_usa_cftc_nc_holding,美国宏观数据,...
...,,...,输出参数,macro_usa_cftc_c_holding,美国宏观数据,...
...,,...,输出参数,macro_usa_cftc_merchant_currency_holding,美国宏观数据,...
...,,...,输出参数,macro_usa_cftc_merchant_goods_holding,美国宏观数据,...
0,,V0,输入参数,futures_main_sina,期货数据,
0,,V0,输入参数,futures_contract_detail,期货数据,
1,,P0,输入参数,futures_main_sina,期货数据,
1,,P0,输入参数,futures_contract_detail,期货数据,
1-2年以内其它应收款(元),,float64,输出参数,stock_financial_analysis_indicator,股票数据,
1-2年以内应收帐款(元),,float64,输出参数,stock_financial_analysis_indicator,股票数据,
1-2年以内预付货款(元),,float64,输出参数,stock_financial_analysis_indicator,股票数据,
10,,Y0,输入参数,futures_main_sina,期货数据,
10,,Y0,输入参数,futures_contract_detail,期货数据,
