接口名,参数类型,参数名,类型,描述,接口描述
macro_cnbs,输入参数,无,,,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,年份,object,"日期, 年-月",中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,居民部门,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,非金融企业部门,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,政府部门,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,中央政府,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,地方政府,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,实体经济部门,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,金融部门资产方,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_cnbs,输出参数,金融部门负债方,float64,-,中国国家金融与发展实验室-中国宏观杠杆率数据
macro_china_qyspjg,输入参数,无,,,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,月份,object,-,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,总指数-指数值,float64,-,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,总指数-同比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,总指数-环比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,农产品-指数值,float64,-,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,农产品-同比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,农产品-环比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,矿产品-指数值,float64,-,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,矿产品-同比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,矿产品-环比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,煤油电-指数值,float64,-,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,煤油电-同比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_qyspjg,输出参数,煤油电-环比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-企业商品价格指数, 数据区间从 20050101-至今"
macro_china_fdi,输入参数,无,,,"东方财富-经济数据一览-中国-外商直接投资数据, 数据区间从 200801-202307"
macro_china_fdi,输出参数,月份,object,-,"东方财富-经济数据一览-中国-外商直接投资数据, 数据区间从 200801-202307"
macro_china_fdi,输出参数,当月,int64,-,"东方财富-经济数据一览-中国-外商直接投资数据, 数据区间从 200801-202307"
macro_china_fdi,输出参数,当月-同比增长,float64,注意单位: 美元,"东方财富-经济数据一览-中国-外商直接投资数据, 数据区间从 200801-202307"
macro_china_fdi,输出参数,当月-环比增长,float64,注意单位: %,"东方财富-经济数据一览-中国-外商直接投资数据, 数据区间从 200801-202307"
