参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
symbol,symbol,symbol,str,输入参数,stock_szse_sector_summary; stock_individual_info_em; stock_individual_basic_info_xq; stock_bid_ask_em; stock_individual_spot_xq; stock_zh_a_hist; stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_minute; stock_zh_a_hist_min_em; stock_intraday_em; stock_intraday_sina; stock_zh_a_hist_pre_min_em; stock_zh_a_tick_tx; stock_zh_growth_comparison_em; stock_zh_valuation_comparison_em; stock_zh_dupont_comparison_em; stock_zh_scale_comparison_em; stock_zh_a_cdr_daily; stock_zh_b_daily; stock_zh_b_minute; stock_zh_kcb_daily; stock_zh_ah_daily; stock_us_hist; stock_individual_basic_info_us_xq; stock_us_hist_min_em; stock_us_daily; stock_us_famous_spot_em; stock_individual_basic_info_hk_xq; stock_hk_hist_min_em; stock_hk_hist; stock_hk_daily; stock_hk_security_profile_em; stock_hk_company_profile_em; stock_hk_financial_indicator_em; stock_hk_dividend_payout_em; stock_hk_growth_comparison_em; stock_hk_valuation_comparison_em; stock_hk_scale_comparison_em; stock_zyjs_ths; stock_zygc_em; stock_comment_detail_zlkp_jgcyd_em; stock_comment_detail_zhpj_lspf_em; stock_comment_detail_scrd_focus_em; stock_comment_detail_scrd_desire_em; stock_hsgt_fund_min_em; stock_hsgt_board_rank_em; stock_hsgt_stock_statistics_em; stock_hsgt_hist_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em; stock_news_em; stock_xgsglb_em; stock_yysj_em; stock_zh_a_disclosure_report_cninfo; stock_zh_a_disclosure_relation_cninfo; stock_industry_category_cninfo; stock_industry_change_cninfo; stock_share_change_cninfo; stock_allotment_cninfo; stock_profile_cninfo; stock_ipo_summary_cninfo; stock_ggcg_em; stock_fhps_detail_em; stock_fhps_detail_ths; stock_hk_fhpx_detail_ths; stock_fund_flow_individual; stock_fund_flow_concept; stock_fund_flow_industry; stock_main_fund_flow; stock_sector_fund_flow_summary; stock_sector_fund_flow_hist; stock_concept_fund_flow_hist; stock_cyq_em; stock_research_report_em; stock_notice_report; stock_financial_report_sina; stock_balance_sheet_by_report_em; stock_balance_sheet_by_yearly_em; stock_profit_sheet_by_report_em; stock_profit_sheet_by_yearly_em; stock_profit_sheet_by_quarterly_em; stock_cash_flow_sheet_by_report_em; stock_cash_flow_sheet_by_yearly_em; stock_cash_flow_sheet_by_quarterly_em; stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_balance_sheet_by_report_delisted_em; stock_profit_sheet_by_report_delisted_em; stock_cash_flow_sheet_by_report_delisted_em; stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_abstract; stock_financial_abstract_new_ths; stock_financial_analysis_indicator_em; stock_financial_analysis_indicator; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em; stock_gdfx_free_top_10_em; stock_gdfx_top_10_em; stock_management_change_ths; stock_shareholder_change_ths; stock_gdfx_holding_detail_em; stock_gdfx_free_holding_teamwork_em; stock_gdfx_holding_teamwork_em; stock_zh_a_gdhs; stock_zh_a_gdhs_detail_em; stock_history_dividend_detail; stock_dividend_cninfo; stock_add_stock; stock_restricted_release_queue_sina; stock_restricted_release_summary_em; stock_restricted_release_queue_em; stock_restricted_release_stockholder_em; stock_circulate_stock_holder; stock_info_sh_name_code; stock_info_sz_name_code; stock_info_sz_delist; stock_info_sh_delist; stock_info_change_name; stock_info_sz_change_name; stock_fund_stock_holder; stock_institute_hold; stock_institute_recommend; stock_institute_recommend_detail; stock_industry_pe_ratio_cninfo; stock_share_hold_change_sse; stock_share_hold_change_szse; stock_share_hold_change_bse; stock_hold_change_cninfo; stock_hold_control_cninfo; stock_hold_management_detail_cninfo; stock_hold_management_person_em; stock_cg_guarantee_cninfo; stock_cg_lawsuit_cninfo; stock_price_js; stock_a_gxl_lg; stock_market_pe_lg; stock_index_pe_lg; stock_market_pb_lg; stock_index_pb_lg; stock_zh_valuation_baidu; stock_value_em; stock_zh_vote_baidu; stock_hk_indicator_eniu; stock_hk_valuation_baidu; stock_us_valuation_baidu; stock_a_high_low_statistics; stock_a_below_net_asset_statistics; stock_report_fund_hold; stock_report_fund_hold_detail; stock_lhb_stock_statistic_em; stock_lhb_jgstatistic_em; stock_lhb_yyb_detail_em; stock_lhb_yybph_em; stock_lhb_traderstatistic_em; stock_lhb_stock_detail_em; stock_lhb_ggtj_sina; stock_lhb_yytj_sina; stock_lhb_jgzz_sina; stock_zh_a_gbjg_em; stock_dzjy_mrmx; stock_dzjy_hygtj; stock_dzjy_hyyybtj; stock_dzjy_yybph; stock_margin_ratio_pa; stock_profit_forecast_em; stock_hk_profit_forecast_et; stock_profit_forecast_ths; stock_board_concept_index_ths; stock_board_concept_info_ths; stock_board_concept_cons_em; stock_board_concept_hist_em; stock_board_concept_hist_min_em; stock_concept_cons_futu; stock_board_industry_index_ths; stock_board_industry_spot_em; stock_board_industry_cons_em; stock_board_industry_hist_em; stock_board_industry_hist_min_em; stock_hot_follow_xq; stock_hot_tweet_xq; stock_hot_deal_xq; stock_hot_rank_detail_em; stock_hk_hot_rank_detail_em; stock_irm_cninfo; stock_irm_ans_cninfo; stock_sns_sseinfo; stock_hot_rank_detail_realtime_em; stock_hk_hot_rank_detail_realtime_em; stock_hot_keyword_em; stock_hot_rank_latest_em; stock_hk_hot_rank_latest_em; stock_hot_search_baidu; stock_hot_rank_relate_em; stock_changes_em; stock_rank_xstp_ths; stock_rank_xxtp_ths; bond_info_detail_cm; bond_zh_hs_daily; bond_cb_profile_sina; bond_cb_summary_sina; bond_zh_hs_cov_daily; bond_zh_hs_cov_min; bond_zh_cov_info; bond_zh_cov_value_analysis; bond_buy_back_hist_em; bond_cb_adj_logs_jsl; bond_china_close_return; bond_gb_zh_sina; bond_gb_us_sina; stock_zh_index_spot_em; stock_zh_index_daily; stock_zh_index_daily_tx; stock_zh_index_daily_em; index_zh_a_hist; index_zh_a_hist_min_em; stock_hk_index_daily_sina; stock_hk_index_daily_em; index_us_stock_sina; index_global_hist_em; index_global_hist_sina; index_stock_cons; index_stock_cons_csindex; index_stock_cons_weight_csindex; index_hist_cni; index_detail_cni; index_detail_hist_cni; index_detail_hist_adjust_cni; sw_index_third_cons; spot_goods; index_yw; index_kq_fz; index_kq_fashion; index_eri; drewry_wci_index; index_price_cflp; index_volume_cflp; stock_zh_index_hist_csindex; stock_zh_index_value_csindex; index_realtime_fund_sw; index_hist_fund_sw; index_realtime_sw; index_hist_sw; index_min_sw; index_component_sw; index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw; futures_comm_info; futures_inventory_99; futures_inventory_em; futures_delivery_match_dce; futures_hold_pos_sina; futures_spot_sys; futures_zh_realtime; futures_zh_minute_sina; futures_hist_em; futures_zh_daily_sina; futures_foreign_commodity_realtime; futures_global_hist_em; futures_foreign_hist; futures_foreign_detail; futures_main_sina; futures_contract_detail; futures_contract_detail_em; futures_index_ccidx; futures_spot_stock; futures_comex_inventory; futures_hog_core; futures_hog_cost; futures_hog_supply; futures_news_shmet; fund_individual_basic_info_xq; fund_info_index_em; fund_etf_category_ths; fund_etf_category_sina; fund_etf_hist_min_em; fund_lof_hist_min_em; fund_etf_hist_em; fund_lof_hist_em; fund_etf_hist_sina; fund_open_fund_info_em; fund_money_fund_info_em; fund_financial_fund_info_em; fund_graded_fund_info_em; fund_hk_fund_hist_em; fund_etf_dividend_sina; fund_open_fund_rank_em; fund_individual_achievement_xq; fund_value_estimation_em; fund_individual_analysis_xq; fund_individual_profit_probability_xq; fund_individual_detail_hold_xq; fund_overview_em; fund_fee_em; fund_individual_detail_info_xq; fund_portfolio_hold_em; fund_portfolio_bond_hold_em; fund_portfolio_industry_allocation_em; fund_portfolio_change_em; fund_scale_open_sina; reits_hist_em; fund_announcement_dividend_em; fund_announcement_report_em; fund_announcement_personnel_em; amac_person_fund_org_list; stock_zh_a_new; stock_sector_detail; stock_industry_clf_hist_sw; futures_dce_position_rank; futures_gfex_position_rank; futures_zh_spot; get_futures_daily; futures_hq_subscribe_exchange_symbol,股票数据; 中国债券数据; 债券数据; 美国债券数据; 指数数据; 中国指数数据; 期货数据; 基金数据; 中国基金数据,,319,316,未提供样本值,用于指数数据; 中国债券数据; 美国债券数据; 期货数据; 基金数据; 股票数据; 债券数据; 中国基金数据; 中国指数数据，出现在308个接口中
date,date,date,str,输入参数,stock_szse_summary; stock_szse_area_summary; stock_szse_sector_summary; stock_sse_deal_daily; stock_intraday_sina; stock_gsrl_gsdt_em; stock_jgdy_tj_em; stock_jgdy_detail_em; stock_gpzy_pledge_ratio_em; stock_sy_yq_em; stock_sy_jz_em; stock_sy_em; stock_sy_hy_em; stock_tfp_em; news_trade_notify_suspend_baidu; news_trade_notify_dividend_baidu; news_report_time_baidu; stock_yjbb_em; stock_yjkb_em; stock_yjyg_em; stock_yysj_em; stock_zcfz_em; stock_zcfz_bj_em; stock_lrb_em; stock_xjll_em; stock_fhps_em; stock_notice_report; stock_gdfx_free_top_10_em; stock_gdfx_top_10_em; stock_gdfx_free_holding_change_em; stock_gdfx_holding_change_em; stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em; stock_gdfx_free_holding_statistics_em; stock_gdfx_holding_statistics_em; stock_history_dividend_detail; stock_restricted_release_stockholder_em; stock_rank_forecast_cninfo; stock_industry_pe_ratio_cninfo; stock_hold_num_cninfo; stock_cg_equity_mortgage_cninfo; stock_qsjy_em; stock_report_fund_hold; stock_report_fund_hold_detail; stock_lhb_stock_detail_em; stock_lhb_detail_daily_sina; stock_yzxdr_em; stock_margin_ratio_pa; stock_margin_detail_sse; stock_margin_szse; stock_margin_detail_szse; stock_margin_underlying_info_szse; stock_hot_search_baidu; stock_zt_pool_em; stock_zt_pool_previous_em; stock_zt_pool_strong_em; stock_zt_pool_sub_new_em; stock_zt_pool_zbgc_em; stock_zt_pool_dtgc_em; bond_cash_summary_sse; bond_deal_summary_sse; index_analysis_weekly_sw; index_analysis_monthly_sw; futures_rule; futures_dce_position_rank; futures_gfex_position_rank; futures_warehouse_receipt_czce; futures_warehouse_receipt_dce; futures_shfe_warehouse_receipt; futures_gfex_warehouse_receipt; futures_to_spot_dce; futures_to_spot_czce; futures_to_spot_shfe; futures_delivery_dce; futures_delivery_czce; futures_delivery_shfe; futures_delivery_match_czce; futures_stock_shfe_js; futures_hold_pos_sina; futures_contract_info_shfe; futures_contract_info_ine; futures_contract_info_czce; futures_contract_info_cffex; futures_settlement_price_sgx; fund_etf_category_ths; fund_etf_spot_ths; fund_individual_detail_hold_xq; fund_portfolio_hold_em; fund_portfolio_bond_hold_em; fund_portfolio_industry_allocation_em; fund_portfolio_change_em; fund_rating_sh; fund_rating_zs; fund_rating_ja; fund_etf_scale_sse; fund_report_stock_cninfo; fund_report_industry_allocation_cninfo; macro_info_ws; news_economic_baidu; stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_cdr_daily; stock_zh_b_daily; stock_zh_kcb_daily; stock_us_daily; stock_hk_daily; stock_a_congestion_lg; stock_a_ttm_lyr; stock_a_all_pb; stock_zh_valuation_baidu; stock_hk_valuation_baidu; stock_us_valuation_baidu; stock_a_high_low_statistics; stock_a_below_net_asset_statistics; bond_zh_hs_daily; bond_zh_hs_cov_daily; bond_gb_zh_sina; bond_gb_us_sina; bond_new_composite_index_cbond; bond_composite_index_cbond; stock_zh_index_daily; stock_zh_index_daily_tx; stock_zh_index_daily_em; stock_hk_index_daily_sina; stock_hk_index_daily_em; index_us_stock_sina; index_global_hist_sina; index_option_50etf_qvix; index_option_300etf_qvix; index_option_500etf_qvix; index_option_cyb_qvix; index_option_kcb_qvix; index_option_100etf_qvix; index_option_300index_qvix; index_option_1000index_qvix; index_option_50index_qvix; drewry_wci_index; futures_zh_daily_sina; get_futures_daily; futures_foreign_hist; futures_hog_core; futures_hog_cost; futures_hog_supply; fund_etf_hist_sina; fund_aum_trend_em; fund_stock_position_lg; fund_balance_position_lg; fund_linghuo_position_lg; macro_china_urban_unemployment,股票数据; 债券数据; 指数数据; 期货数据; 中国期货数据; 基金数据; 宏观数据; 中国债券数据; 美国债券数据; 中国指数数据; 中国宏观数据,,151,151,未提供样本值,用于指数数据; 期货数据; 基金数据; 股票数据; 债券数据; 宏观数据; 中国期货数据，出现在101个接口中
start_date,start_date,start_date,str,输入参数,stock_zh_a_hist; stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_hist_min_em; stock_zh_a_cdr_daily; stock_zh_b_daily; stock_us_hist; stock_us_hist_min_em; stock_hk_hist_min_em; stock_hk_hist; stock_hsgt_stock_statistics_em; stock_hsgt_institution_statistics_em; stock_hsgt_individual_detail_em; stock_zh_a_disclosure_report_cninfo; stock_zh_a_disclosure_relation_cninfo; stock_industry_change_cninfo; stock_share_change_cninfo; stock_allotment_cninfo; stock_zdhtmx_em; stock_restricted_release_summary_em; stock_restricted_release_detail_em; stock_cg_guarantee_cninfo; stock_cg_lawsuit_cninfo; stock_lhb_detail_em; stock_lhb_jgmmtj_em; stock_lhb_hyyyb_em; stock_dzjy_mrmx; stock_dzjy_mrtj; stock_margin_sse; stock_board_concept_index_ths; stock_board_concept_hist_em; stock_board_industry_index_ths; stock_board_industry_hist_em; bond_china_yield; bond_zh_hs_cov_min; bond_china_close_return; bond_zh_us_rate; bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo; stock_zh_index_daily_em; index_zh_a_hist; index_zh_a_hist_min_em; index_hist_cni; stock_zh_index_hist_csindex; index_analysis_daily_sw; futures_hist_em; get_futures_daily; futures_main_sina; fund_etf_hist_min_em; fund_lof_hist_min_em; fund_etf_hist_em; fund_lof_hist_em; fund_etf_fund_info_em; macro_china_swap_rate; stock_industry_clf_hist_sw,股票数据; 中国债券数据; 债券数据; 美国债券数据; 指数数据; 中国指数数据; 期货数据; 基金数据; 中国宏观数据,,57,57,未提供样本值,用于指数数据; 中国债券数据; 美国债券数据; 期货数据; 中国宏观数据; 基金数据; 股票数据; 债券数据; 中国指数数据，出现在56个接口中
end_date,end_date,end_date,str,输入参数,stock_zh_a_hist; stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_hist_min_em; stock_zh_a_cdr_daily; stock_zh_b_daily; stock_us_hist; stock_us_hist_min_em; stock_hk_hist_min_em; stock_hk_hist; stock_hsgt_stock_statistics_em; stock_hsgt_institution_statistics_em; stock_hsgt_individual_detail_em; stock_zh_a_disclosure_report_cninfo; stock_zh_a_disclosure_relation_cninfo; stock_industry_change_cninfo; stock_share_change_cninfo; stock_allotment_cninfo; stock_zdhtmx_em; stock_restricted_release_summary_em; stock_restricted_release_detail_em; stock_cg_guarantee_cninfo; stock_cg_lawsuit_cninfo; stock_lhb_detail_em; stock_lhb_jgmmtj_em; stock_lhb_hyyyb_em; stock_dzjy_mrmx; stock_dzjy_mrtj; stock_margin_sse; stock_board_concept_index_ths; stock_board_concept_hist_em; stock_board_industry_index_ths; stock_board_industry_hist_em; bond_china_yield; bond_zh_hs_cov_min; bond_china_close_return; bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo; stock_zh_index_daily_em; index_zh_a_hist; index_zh_a_hist_min_em; index_hist_cni; stock_zh_index_hist_csindex; index_analysis_daily_sw; futures_hist_em; get_futures_daily; futures_main_sina; fund_etf_hist_min_em; fund_lof_hist_min_em; fund_etf_hist_em; fund_lof_hist_em; fund_etf_fund_info_em; macro_china_swap_rate,股票数据; 中国债券数据; 债券数据; 指数数据; 中国指数数据; 期货数据; 基金数据; 中国宏观数据,,55,55,未提供样本值,用于指数数据; 中国债券数据; 期货数据; 中国宏观数据; 基金数据; 股票数据; 债券数据; 中国指数数据，出现在55个接口中
indicator,indicator,indicator,str,输入参数,stock_analyst_detail_em; stock_hsgt_board_rank_em; stock_hsgt_hold_stock_em; stock_individual_fund_flow_rank; stock_sector_fund_flow_rank; stock_sector_fund_flow_summary; stock_financial_debt_new_ths; stock_financial_benefit_new_ths; stock_financial_cash_new_ths; stock_financial_hk_report_em; stock_financial_us_report_em; stock_financial_abstract_new_ths; stock_financial_analysis_indicator_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em; stock_gdfx_holding_detail_em; stock_history_dividend_detail; stock_sector_spot; stock_zh_valuation_baidu; stock_zh_vote_baidu; stock_hk_indicator_eniu; stock_hk_valuation_baidu; stock_us_valuation_baidu; stock_hk_profit_forecast_et; stock_profit_forecast_ths; bond_zh_cov_info; bond_new_composite_index_cbond; bond_composite_index_cbond; fund_info_index_em; fund_open_fund_info_em; fund_fee_em; fund_portfolio_change_em; macro_china_nbs_region,股票数据; 债券数据; 中国债券数据; 基金数据; 中国宏观数据,,33,33,未提供样本值,用于中国债券数据; 中国宏观数据; 基金数据; 股票数据; 债券数据，出现在33个接口中
period,period,period,str,输入参数,stock_zh_a_hist; stock_zh_a_minute; stock_zh_a_hist_min_em; stock_zh_b_minute; stock_us_hist; stock_hk_hist_min_em; stock_hk_hist; stock_report_disclosure; stock_zh_valuation_baidu; stock_hk_valuation_baidu; stock_us_valuation_baidu; stock_board_concept_hist_em; stock_board_concept_hist_min_em; stock_board_industry_hist_em; stock_board_industry_hist_min_em; bond_zh_hs_cov_min; bond_china_close_return; bond_new_composite_index_cbond; bond_composite_index_cbond; index_zh_a_hist; index_zh_a_hist_min_em; index_hist_fund_sw; index_hist_sw; futures_zh_minute_sina; futures_hist_em; fund_etf_hist_min_em; fund_lof_hist_min_em; fund_etf_hist_em; fund_lof_hist_em; fund_open_fund_info_em; macro_china_nbs_nation; macro_china_nbs_region,股票数据; 债券数据; 中国债券数据; 中国指数数据; 指数数据; 期货数据; 基金数据; 中国宏观数据,,32,32,未提供样本值,用于指数数据; 中国债券数据; 期货数据; 中国宏观数据; 基金数据; 股票数据; 债券数据; 中国指数数据，出现在32个接口中
adjust,adjust,adjust,str,输入参数,stock_zh_a_hist; stock_zh_a_daily; stock_zh_a_hist_tx; stock_zh_a_minute; stock_zh_a_hist_min_em; stock_zh_b_daily; stock_zh_b_minute; stock_zh_kcb_daily; stock_zh_ah_daily; stock_us_hist; stock_us_daily; stock_hk_hist_min_em; stock_hk_hist; stock_hk_daily; stock_cyq_em; stock_board_concept_hist_em; stock_board_industry_hist_em; bond_zh_hs_cov_min; futures_zh_spot; fund_etf_hist_min_em; fund_lof_hist_min_em; fund_etf_hist_em; fund_lof_hist_em,股票数据; 债券数据; 期货数据; 基金数据,,23,23,未提供样本值,用于期货数据; 基金数据; 股票数据; 债券数据，出现在23个接口中
timeout,timeout,timeout,float,输入参数,stock_individual_info_em; stock_individual_basic_info_xq; stock_individual_spot_xq; stock_zh_a_hist; stock_zh_a_hist_tx; stock_individual_basic_info_us_xq; stock_individual_basic_info_hk_xq; fund_individual_basic_info_xq; fund_individual_achievement_xq; fund_individual_analysis_xq; fund_individual_profit_probability_xq; fund_individual_detail_hold_xq; fund_individual_detail_info_xq,股票数据; 基金数据,,13,13,未提供样本值,用于基金数据; 股票数据，出现在13个接口中
time,time,time,str,输入参数,stock_hot_search_baidu; index_option_50etf_min_qvix; index_option_300etf_min_qvix; index_option_500etf_min_qvix; index_option_cyb_min_qvix; index_option_kcb_min_qvix; index_option_100etf_min_qvix; index_option_300index_min_qvix; index_option_1000index_min_qvix; index_option_50index_min_qvix; futures_zh_spot,股票数据; 指数数据; 期货数据,,11,11,未提供样本值,用于股票数据，出现在1个接口中
market,market,market,str,输入参数,stock_hsgt_hold_stock_em; stock_hsgt_institution_statistics_em; stock_report_disclosure; stock_zh_a_disclosure_report_cninfo; stock_zh_a_disclosure_relation_cninfo; stock_individual_fund_flow; futures_zh_spot; get_futures_daily,股票数据; 期货数据,,8,8,未提供样本值,用于股票数据; 期货数据，出现在8个接口中
