func_name,target_url,description,title,input_params_count,output_params_count,data_example_lines,data_type,limit
bond_info_cm,https://www.chinamoney.com.cn/chinese/scsjzqxx/,中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询,债券基础信息,8,7,0,bond,
bond_info_detail_cm,https://www.chinamoney.com.cn/chinese/zqjc/?bondDefinedCode=egfjh08154,中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询-债券详情,债券基础名词,1,2,0,bond,
bond_cash_summary_sse,https://bond.sse.com.cn/data/statistics/overview/bondow/,上登债券信息网-市场数据-市场统计-市场概览-债券现券市场概览,债券成交概览,1,5,0,bond,单次返回指定交易日的债券现券市场概览数据
bond_deal_summary_sse,http://bond.sse.com.cn/data/statistics/overview/turnover/,上登债券信息网-市场数据-市场统计-市场概览-债券成交概览,债券基础数据,1,6,0,bond,单次返回指定交易日的债券成交概览数据
bond_debt_nafmii,http://zhuce.nafmii.org.cn/fans/publicQuery/manager,中国银行间市场交易商协会-非金融企业债务融资工具注册信息系统,中国债券市场行情数据,1,7,0,bond,单次获取指定 page 页面数据的 50 条数据
bond_spot_quote,https://www.chinamoney.com.cn/chinese/mkdatabond/,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-市场行情-债券市场行情-现券市场做市报价,现券市场成交行情,1,6,0,bond,单次返回所有数据
bond_spot_deal,https://www.chinamoney.com.cn/chinese/mkdatabond/,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-市场行情-债券市场行情-现券市场成交行情,国债及其他债券收益率曲线,1,6,0,bond,单次返回所有即期数据
bond_china_yield,https://yield.chinabond.com.cn/cbweb-pbc-web/pbc/historyQuery?startDate=2019-02-07&endDate=2020-02-04&gjqx=0&qxId=ycqx&locale=cn_ZH,中国债券信息网-国债及其他债券收益率曲线,沪深债券,2,10,0,bond,单次返回所有指定日期间 start_date 到 end_date 需要小于一年的所有数据
bond_zh_hs_spot,https://vip.stock.finance.sina.com.cn/mkt/#hs_z,新浪财经-债券-沪深债券-实时行情数据,历史行情数据,2,13,0,bond,单次返回所有沪深债券的实时行情数据
bond_zh_hs_daily,https://money.finance.sina.com.cn/bond/quotes/sh019315.html,"新浪财经-债券-沪深债券-历史行情数据, 历史数据按日频率更新",沪深可转债,1,6,0,bond,单次返回具体某个沪深转债的所有历史行情数据
bond_cb_profile_sina,https://money.finance.sina.com.cn/bond/info/sz128039.html,新浪财经-债券-可转债-详情资料,可转债-债券概况,1,2,0,bond,单次返回指定 symbol 的可转债-详情资料数据
bond_cb_summary_sina,https://money.finance.sina.com.cn/bond/quotes/sh155255.html,新浪财经-债券-可转债-债券概况,实时行情数据,1,2,0,bond,单次返回指定 symbol 的可转债-债券概况数据
bond_zh_hs_cov_spot,https://vip.stock.finance.sina.com.cn/mkt/#hskzz_z,新浪财经-沪深可转债数据,历史行情数据-日频,1,1,0,bond,单次返回所有沪深可转债的实时行情数据
bond_zh_hs_cov_daily,https://biz.finance.sina.com.cn/suggest/lookup_n.php?q=sh110048,"新浪财经-历史行情数据，日频率更新, 新上的标的需要次日更新数据",历史行情数据-分时,1,6,0,bond,单次返回具体某个沪深可转债的所有历史行情数据
bond_zh_hs_cov_min,https://quote.eastmoney.com/concept/sz128039.html,东方财富网-可转债-分时行情,历史行情数据-盘前分时,5,0,0,bond,"单次返回指定可转债、指定频率、复权调整和时间区间的分时数据, 其中 1 分钟数据只返回近 1 个交易日数据且不复权; 其余 period 只能获取近期的数据"
bond_zh_hs_cov_pre_min,https://quote.eastmoney.com/concept/sz128039.html,东方财富网-可转债-分时行情-盘前分时,可转债数据一览表,1,8,0,bond,单次返回指定可转债在最近一个交易日的盘前分时数据
bond_zh_cov,https://data.eastmoney.com/kzz/default.html,东方财富网-数据中心-新股数据-可转债数据一览表,可转债详情,1,19,0,bond,单次返回当前交易时刻的所有可转债数据
bond_zh_cov_info,https://data.eastmoney.com/kzz/detail/123121.html,东方财富网-数据中心-新股数据-可转债详情,可转债详情-同花顺,2,1,0,bond,单次返回指定 symbol 的可转债详情数据
bond_zh_cov_info_ths,https://data.10jqka.com.cn/ipo/bond/,同花顺-数据中心-可转债,可转债比价表,1,16,0,bond,单次返回所有数据
bond_cov_comparison,https://quote.eastmoney.com/center/fullscreenlist.html#convertible_comparison,东方财富网-行情中心-债券市场-可转债比价表,可转债价值分析,1,20,0,bond,单次返回当前交易时刻的所有可转债比价数据
bond_zh_cov_value_analysis,https://data.eastmoney.com/kzz/detail/113527.html,东方财富网-行情中心-新股数据-可转债数据-可转债价值分析,可转债溢价率分析,1,6,0,bond,单次返回所有可转债价值分析数据
bond_zh_cov_value_analysis,https://data.eastmoney.com/kzz/detail/113527.html,东方财富网-行情中心-新股数据-可转债数据-可转债溢价率分析,质押式回购,1,6,0,bond,单次返回所有可转债溢价率分析数据；此接口同 bond_zh_cov_value_analysis
bond_sh_buy_back_em,https://quote.eastmoney.com/center/gridlist.html#bond_sh_buyback,东方财富网-行情中心-债券市场-上证质押式回购,深证质押式回购,1,12,0,bond,单次返回所有行情数据
bond_sz_buy_back_em,https://quote.eastmoney.com/center/gridlist.html#bond_sz_buyback,东方财富网-行情中心-债券市场-深证质押式回购,质押式回购历史数据,1,12,0,bond,单次返回所有行情数据
bond_buy_back_hist_em,https://quote.eastmoney.com/center/gridlist.html#bond_sh_buyback,东方财富网-行情中心-债券市场-质押式回购-历史数据,可转债实时数据-集思录,1,7,0,bond,单次返回所有历史行情数据
bond_cb_jsl,https://www.jisilu.cn/data/cbnew/#cb,集思录可转债实时数据，包含行情数据（涨跌幅，成交量和换手率等）及可转债基本信息（转股价，溢价率和到期收益率等）,可转债强赎,1,23,0,bond,单次返回当前交易时刻的所有数据
bond_cb_redeem_jsl,https://www.jisilu.cn/data/cbnew/#redeem,集思录可转债-强赎,集思录可转债等权指数,1,18,0,bond,单次返回所有数据
